sample_id,true_label,target_x,target_y,SCNR_dB,2T2R_det_prob,2T2R_det_pred,2T2R_pred_x,2T2R_pred_y,2T2R_pos_err_m,2T2R_correct_det,2T1R_det_prob,2T1R_det_pred,2T1R_pred_x,2T1R_pred_y,2T1R_pos_err_m,2T1R_correct_det,1T2R_det_prob,1T2R_det_pred,1T2R_pred_x,1T2R_pred_y,1T2R_pos_err_m,1T2R_correct_det,1T1R_det_prob,1T1R_det_pred,1T1R_pred_x,1T1R_pred_y,1T1R_pos_err_m,1T1R_correct_det
252,1,20.653212,85.968124,-60.892773,0.0073376424,0,16.989613,96.37601,11.033856,0,0.14594641,0,22.293995,80.560585,5.6509867,0,0.007035424,0,20.596035,86.29815,0.334941,0,0.5127404,1,5.2771187,40.270103,48.21549,1
611,1,31.745296,115.60582,-85.43006,0.0035839463,0,17.167759,94.86901,25.347975,0,0.25261897,0,24.141476,79.82196,36.58282,0,0.0066934624,0,22.609646,78.13266,38.570686,0,0.6357914,1,6.9237404,41.904854,77.76852,1
1019,1,43.744915,151.72125,-78.309906,0.005652651,0,21.489658,112.075356,45.4653,0,0.42424828,0,30.06123,100.45872,53.057426,0,0.010207181,0,24.304905,83.751366,70.69526,0,0.5913037,1,8.642925,43.62879,113.649155,1
1116,1,19.214415,84.53755,-61.283882,0.003015011,0,16.305874,98.53464,14.296084,0,0.2712615,0,20.7645,84.135254,1.6014391,0,0.008729315,0,22.170261,80.907585,4.6812057,0,0.62413085,1,4.9775314,39.377483,47.351036,1
1219,1,40.507298,140.82317,-84.49039,0.012059783,0,22.486752,104.92783,40.16485,0,0.3001674,0,26.881924,82.723915,59.67557,0,0.014448857,0,27.08765,85.899765,56.539074,0,0.5646436,1,8.527439,44.754765,101.25142,1
1286,1,15.9626875,72.03545,-62.075996,0.010227024,0,16.227356,89.03609,17.002693,0,0.1948598,0,24.968998,80.094025,12.085289,0,0.0091343075,0,21.385319,89.048805,17.856625,0,0.68675035,1,6.2761383,39.972538,33.494175,1
1288,1,19.250868,81.48268,-60.416866,0.0052801594,0,18.630955,96.177185,14.707574,0,0.12592204,0,25.132214,78.598915,6.550293,0,0.012959311,0,21.21281,89.13118,7.8961225,0,0.6110643,1,5.2524376,38.92981,44.796238,1
1324,1,15.856462,71.19539,-71.22864,0.09368528,0,16.776768,75.67323,4.571439,0,0.15735926,0,24.06812,79.74348,11.853317,0,0.057117246,0,18.951862,76.59627,6.22503,0,0.63737655,1,7.090927,40.820423,31.614445,1
1810,1,18.92774,82.58106,-63.173176,0.0030864095,0,15.614712,97.877235,15.650848,0,0.20013943,0,23.388988,78.80789,5.842906,0,0.007992341,0,22.384472,80.683105,3.9435055,0,0.6644521,1,6.2218437,40.44216,44.012802,1
1840,1,30.183853,111.73035,-78.654686,0.003940968,0,17.776127,97.12431,19.164757,0,0.21530679,0,24.472065,80.24179,32.0024,0,0.006756109,0,22.674648,76.324905,36.193005,0,0.5850658,1,7.490341,42.040028,73.29214,1
2294,1,17.818264,77.43236,-67.62048,0.003480269,0,17.224781,97.19921,19.77576,0,0.16287875,0,25.037907,81.67187,8.372376,0,0.0057093604,0,23.335331,85.654976,9.901994,0,0.5446071,1,7.134968,39.695343,39.220085,1
2334,1,21.021328,85.87817,-78.694016,0.002216026,0,15.700378,93.383316,9.199988,0,0.19691837,0,25.674793,79.90725,7.5701113,0,0.0019505129,0,21.721447,79.870346,6.0484767,0,0.6949917,1,6.447708,40.117477,48.025314,1
3185,1,20.658648,86.81716,-65.78105,0.0032478478,0,16.734722,97.71658,11.584238,0,0.17639646,0,21.665974,80.97074,5.9325657,0,0.007036506,0,20.930271,78.96098,7.8608723,0,0.64279664,1,5.6632385,40.043938,49.11819,1
3929,1,35.298294,126.478676,-82.43532,0.0051738434,0,17.96819,102.35196,29.70574,0,0.31151995,0,25.62888,83.96584,43.598606,0,0.008358434,0,23.291279,80.29477,47.719196,0,0.6156652,1,7.429508,42.90917,88.09388,1
4388,1,34.114864,121.4799,-97.30027,0.005811308,0,19.46893,100.00382,25.994715,0,0.22214149,0,23.455791,79.70274,43.1155,0,0.008321478,0,24.450527,80.35573,42.244488,0,0.6729977,1,6.7235565,41.760963,84.29349,1
4468,1,11.19978,59.013393,-60.505592,0.009624507,0,13.57682,81.1805,22.294188,0,0.14118117,0,24.86047,78.78553,24.032309,0,0.006398308,0,19.874577,78.28523,21.134235,0,0.567025,1,7.365883,40.181984,19.21772,1
4535,1,22.497099,89.820335,-70.240326,0.005035839,0,17.8867,96.4431,8.069497,0,0.18700334,0,22.868595,82.02029,7.8088903,0,0.006394377,0,21.427303,90.2843,1.1660734,0,0.67474186,1,6.1783867,40.112286,52.318165,1
4652,1,39.10161,135.95738,-90.13852,0.008207391,0,20.268131,103.92806,37.15612,0,0.23777363,0,24.760113,79.21251,58.529133,0,0.007951949,0,22.933544,77.172356,60.967907,0,0.7769926,1,6.40292,41.604576,99.85818,1
4858,1,20.42646,92.90613,-54.121258,0.0028787889,0,14.733994,97.90028,7.572699,0,0.42884105,0,20.476864,86.89202,6.014318,0,0.009134108,0,20.67432,78.03264,14.875554,0,0.5530992,1,5.9752464,39.379795,55.442818,1
